comment_id,user_nickname,content,agree_count,mark,gmt_modified
6753726,jjxl2018,我是一名医学基础课程老师，负责病理生理学的教学，为了适应新时代的需求，我们学校开设了一个新兴医学专业“医 X”。在新医科以人工智能、大数据、云计算为代表的科技革命新背景下，本专业在病理生理学教学课程中也融入人工智能、大数据等相关内容。李老师的计算机课不仅给学生带来新的技术技能，也给我们带来很多启发，为实现培养“学科交叉、服务临床、注重创新、引领发展”的复合型医学人才做好了充分的准备。,16,5.0,1705826239453
6622337,君辞2560,非常好课程，使我的大脑旋转,10,5.0,1702880991040
5020167,mooc56490986133536953,老师讲的太好了吧，人美又温柔，耐心解决问题，我学会了，yyds,7,5.0,1635822979535
5338618,mooc110061795291999110,老师讲课生动有趣，带我们走进爬虫，让我又对计算机提起了兴趣(/≧▽≦)/~┴┴ (开心起来掀个桌没毛病吧～),6,5.0,1648121413168
6751643,乳酸钠林格,非常不错的课程，虽说是线上课程，但是学习效果丝毫不比线下课得效果差，老师线上回复十分及时，快速上手Python简直不要太爽，可视化的学习也是对Python语言理解的加深，更深一步理解了市面上各种各样的优美的数据大屏的来源和制作方法，技能upupup～,4,5.0,1705750846905
6621991,under.,虽然我不是专门的计算机专业，面对代码这些东西会很有疑惑，但是李老师的授课方式和效果却是独一佳的，让原本无味的知识更加生动，易理解，课堂上也是十分轻松却也能够学到很多有用的知识，很喜欢李老师的课！！！,4,5.0,1702967368813
6622967,半夏不当行,老师讲的很好，每个知识点都讲得很透彻，作为新手，感觉很清晰，特别是案例是一个完整的案例贯穿整个知识路线，比其他老师知识蜻蜓点水式的讲解好的不是一点半点，给老师点赞。,4,5.0,1702967136918
5178198,cugzhaohui,老师讲的很好，每个知识点都讲得很透彻，作为新手，感觉很清晰，特别是案例是一个完整的案例贯穿整个知识路线，比其他老师知识蜻蜓点水式的讲解好的不是一点半点，给老师点赞。,4,5.0,1641355678216
6070739,颜康20229411118,老师非常棒，很好的课程！,3,5.0,1679454752524
6832676,mooc11914815852490750,我是一名临床医学的学生，正在学习Python数据爬取的内容。在新医科背景下，学科交叉，医工融合是时代大趋势，数据爬取对于医学领域论文写作来说无疑是一本葵花宝典，倚天屠龙剑。学习Python难免会遇到许多挫折和疑问，李老师的课程带我走出疑惑，如拨云见日，受益匪浅。,2,5.0,1711348823991
6831730,谢美丽飞飞飞,老师超级好，传授的知识很懂，老师在很认真的教书，课堂气氛超级活跃，我要做一个大数据的医学生爬虫！！！,2,5.0,1711348535930
6837674,学员53eakada111726467573635545,以前用电脑效率很低，耗费大量时间，学习了Python之后，爬取数据很快，对于医学生很有帮助,2,5.0,1711348347035
6835690,天天保护地球,这门课程能让我更好地认识计算机与python，帮助我利用计算机进行数据处理，查找文献，有效地利用好网上资源。,2,5.0,1711348336696
6809728,墨摆摆,"学习爬虫课程是一种非常有趣和实用的经历。在这门课程中，我学到了如何使用编程语言和相关工具来自动化获取互联网上的数据。
首先，学习爬虫课程让我更深入地了解了互联网的工作原理。我学会了如何发送HTTP请求并解析返回的网页内容，了解了网页的结构和标记语言，如HTML和CSS。通过学习网页的结构，我可以更好地理解如何提取我需要的数据。
其次，学习爬虫课程使我掌握了一些常用的爬虫工具和技术。我学会了使用Python编程语言来编写爬虫程序，使用相关库，如Requests和BeautifulSoup，来实现数据的获取和解析。我也学会了处理一些常见的爬虫问题，如处理动态网页生成的数据、处理反爬虫机制等。
最重要的是，学习爬虫课程让我认识到数据隐私和伦理问题的重要性。在抓取数据的过程中，我们需要遵守网站的使用条款和隐私政策，并尊重数据的所有权和隐私。学习爬虫课程也提醒了我要学会合理使用和处理数据，避免滥用和侵犯他人的隐私。
",2,5.0,1710311685272
7533597,mooc33457055705277961,非常好，很有吸引力,1,5.0,1746196238456
7534583,浮梦谪世,很好的课程，学到了很多有用的知识,1,5.0,1746155762980
7361831,温壶春,课程很详细,1,5.0,1736221110340
7168260,mooc34429602732246016,对大数据可视化爬虫讲的很透彻，十分优秀。,1,5.0,1730427856842
7169261,@冷子兴,老师的Python数据爬虫课真是太棒了！讲解深入浅出，让我这种小菜鸡都能轻松上手。而且老师超级有耐心，每次问题都能得到及时回复，真是太感谢老师啦~ 强力推荐哦~,1,5.0,1730427655744
7155353,2108李骏午,强烈推荐此课程，老师讲的内容非常详细，想学python爬虫和可视化的同学一定要来看看,1,5.0,1729930946568
6992784,mooc173942998684223685,老师讲的特别好，讲的特别细致，平时有问题也会及时回复，回复得也特别容易理解，真不错！,1,5.0,1718774525651
6992328,mooc10800937207421045,老师讲的很生动有趣，很容易听会。,1,5.0,1718630452847
6996263,何鸣涛,"课程内容中使老师讲解详细举例生动，是学生容易理解老师的课程安排非常合理，能够让学生循序渐进的学进知识
",1,5.0,1718620539049
6831736,零伍零九,老师认真且负责，让我们看到了计算机与医学的结合，给我们提供了不同的视角。,1,5.0,1711349495536
6835695,mooc11740121521871021,Python课程深入浅出，老师教学经验丰富，讲解清晰易懂，案例丰富实用，让人受益匪浅，强烈推荐给对编程感兴趣的朋友！,1,5.0,1711348436651
6831422,还得等会哈,老师讲的很好，每个知识点都讲得很透彻，作为新手，感觉很清晰，特别是案例是一个完整的案例贯穿整个知识路线，比其他老师知识蜻蜓点水式的讲解好的不是一点半点，给老师点赞。,1,5.0,1711159643988
6833411,有追求的羊,从老师这门课知道了爬虫，从爬虫才知道python，几乎算是小白，当学完若干个知识点后，自己的爬虫项目也完成了，挺有成就感的。,1,5.0,1711159546226
6834411,Gin2021,非常不错的课程，虽说是线上课程，但是学习效果丝毫不比线下课得效果差，老师线上回复十分及时，快速上手Python简直不要太爽，可视化的学习也是对Python语言理解的加深，更深一步理解了市面上各种各样的优美的数据大屏的来源和制作方法，技能upupup～,1,5.0,1711159310853
6831413,Ryank12109848584915291573,首先，课程涵盖了广泛的知识点，无论是基础学科还是专业课程，都充满了深度和广度。这不仅让我在专业领域有了更深的理解，也让我在日常生活中有了更多的谈资。,1,5.0,1711158131151
6814592,学员9cbakada39086357235034106,学习python对临床医学专业的学生用处很大，对于科研项目的数据采集帮助很大,1,5.0,1710727766575
6807985,mooc10555019987660157,从老师这门课知道了爬虫，从爬虫才知道python，几乎算是小白，当学完若干个知识点后，自己的爬虫项目也完成了，挺有成就感的。,1,5.0,1710469128113
6806894,学员5898kada146971649446424315,非常好的课程,1,5.0,1710407671520
6811632,璃馗　,"作为一个非计算机专业的学生，学习爬虫技术是一次非常有趣的经历。一开始，我对爬虫的概念和作用并不了解，只是听说过它可以用来获取互联网上的信息。但是，当我开始学习爬虫的基本原理和实现方法后，我发现它其实是一个非常实用的工具。
在学习爬虫的过程中，我也遇到了一些挑战。例如，有些网站的反爬虫机制非常复杂，需要我不断尝试不同的方法来突破它们。我非常感谢这次学习经历，并且希望将来能够继续探索更多关于计算机科学的知识。
",1,5.0,1710311714652
6809670,徐新枫,李老师讲课内容全面，讲课让人觉得通俗易懂,1,5.0,1710289422621
6810643,雷@,太好了，pathon讲课最好的老师,1,5.0,1710289371322
6752759,mooc69037470728519842,最近毕设需要用到爬虫技术来进行多页面数据采集，看了老师的课程之后成功解决了问题，老师讲的案例清晰易懂，也很耐心细致,1,5.0,1705837522995
6684389,1背带裤1,这套课程是以案例的方式进行对专业知识的讲解，讲解的很细致,1,5.0,1704010915089
6625361,竹子k124578824489641939,这门课让我对Python的兴趣大大提升，原来编程并不是那么枯燥！！现在遇到问题动不动就想着能不能写个程序来解决，啊啊啊,1,5.0,1702979432106
6623083,言nn,"确实挺不错的
",1,5.0,1702974302356
6621032,mooc92981281204473329,"    1、老师授课时重点突出，合理使用各种教学形式，比如在重点讲解某一部分时，为了能够确保学生听懂，充分利用课堂互动，演算比较清晰，易于让学生理解的特点。
    2、课堂资料充实，简单明了，使学生能够轻简单松掌握知识。
    3、老师教学的另一个特点师风趣，它能用日常生活中的简单例子来解释说明课程中的一些专有名词和概念，使课堂气氛活跃课程简单易学
",1,5.0,1702967605511
6621031,Artis0318,5星，+3,1,5.0,1702967592601
6623857,mooc173767715979160385,老师讲的非常棒,1,5.0,1702967433131
6622979,吴永邯,老师人美心善，讲得也很易懂，爱你老师么么哒,1,5.0,1702967394292
6618138,mooc161315225558643284,讲得非常好,1,5.0,1702967239119
6618137,mooc103350183801268455,李老师讲的特别好,1,5.0,1702967222803
6621365,刘烈凯,上课内容新颖，内容很有感染力,1,5.0,1702880946705
6231203,19级卫检02刘致远,首先，Python语言是种十分优秀且高效的编程语言，其次老师讲课生动详细，通过多种实例演示来达成教学目的，过程简单易懂，对同学们进行实际操作提供了优质的指导意见，最后感谢老师们的辛勤付出，望优质课程越来越好。,1,5.0,1686188689354
6222891,学员5209kada133342636225965678,这门Python数据爬取和可视化的课程真的很不错。我学到了如何使用Python编写爬虫程序，从各种网站上获取数据，还学会了如何使用Python的各种数据可视化库，将数据以图表等形式生动地呈现给别人。老师的讲解真的非常好，她讲得很清楚，让我能够很轻松地理解每一个知识点。而且她的课程设计也很有趣，让我觉得学习编程也不是一件有多难的事情。总的来说，这是一门值得推荐的课程，无论是对于正在学习Python的初学者，还是想深入学习Python的高级用户，都非常有用！,1,5.0,1686047433438
6222825,没有名字我好难过,太棒了，家人们！老师讲得太好了，我哭死。,1,5.0,1686037198597
6067748,寄西风丶,good  good老师上课讲的太好了，很有趣。,1,5.0,1679454668148
6027063,我愿轻狂伴你至深沉i,老师讲的很好，很有意思，代入感很强，建议多加几节课,1,5.0,1677572014285
5443035,学员b969kada81017895624722164,......,1,5.0,1651713121401
5336060,樂乐～,老师讲得很好，通俗易懂，幽默风趣，非常有耐心，使我在短短几节课掌握让我受益匪浅的课，感谢老师。,1,5.0,1648341130724
5333653,南华大学机卓1901班颜雨洁20190010407,李老师通俗易懂又幽默的讲授，让我喜欢上了Python，以后自己也会继续更加深入了解学习这个技能，感谢老师的讲授和带领。,1,5.0,1648121569308
5025412,伏地魔老先生,客服的服务态度很好，很耐心地解决了我的问题，宝贝质量也很棒，可以色差，下次还会回购。,1,5.0,1635992363004
5026221,F-F_,这老师讲的是真不错，老师讲解的内容也非常通俗易懂，非常推荐,1,5.0,1635834708009
5015200,灰白衬衫,yyds！,1,5.0,1635834561656
5022166,待如初i,老师讲的特别好，简洁清晰，短小精悍，推荐！！！,1,5.0,1635834548096
5019132,BBi8booo,大河弯弯向东流，就是这么牛.,1,5.0,1635834511268
5020197,mooc97204528151800317,很棒，下次还回来,1,5.0,1635834498866
5021127,木色青鱼,老师很棒，性格温和有耐心，上课方式很有趣，通俗易懂。,1,5.0,1635822983990
5016178,mooc97186759266349169,晓昀老师讲的太好了，以前不会的我都会了，腰也不疼了，腿也不痛了，感觉智商都上了好几个台阶。,1,5.0,1635822966848
5017383,计算机不是有手就行??,喜欢老师的上课方式，有钱不枯燥，课间和我们沟通交流，亦师亦友，很感激能在大学能有这样一位恩师。,1,5.0,1635270925231
5001468,mooc1466606073790,电脑小白的我，本着试一试的心理尝试听课。几个视频下来，居然听懂了！坚持，坚持！,1,5.0,1634388408469
4975571,mooc77324684381093121,强烈推荐此课程，老师讲的内容非常详细，想学python爬虫和可视化的同学一定要来看看,1,5.0,1632904930126
4979575,ykt66459755166177946,初学Python这门课的时候觉得挺难的，后来在老师的帮助和指导下，渐渐发现这门课很有意思，老师很耐心，和蔼可亲，顿时学这门课有了极大的乐趣。,1,5.0,1632903427347
4978322,Brooksk1227383935156541472,"老师讲课十分认真投入，内容纲举目分，条理性很强，而且特别善于举例，让同学理论联系实际，学习起来十分轻松，而且印象深刻，收到良好的效果。老师为人和蔼，课堂能与同学们互动，营造温馨的课堂气氛。
老师治学严谨，能深入了解学生的学习，循循善诱，平易近人。",1,4.0,1632647658526
7429619,金洪范8876,学了很多知识  对生活充满信心,0,5.0,1741676058877
7410206,mooc26926189968859430,"挺不错的
一个学习软件
",0,5.0,1739926763103
7405203,fanzh,李老师讲得真是好！,0,5.0,1739351161367
7332921,公管类230320230021卢子博,可以看出老师很认真、很负责,0,5.0,1735463039171
7338780,mooc35787938452874661,非常好，不错，很好,0,5.0,1735402087273
7337786,mooc142791375369115653,很好很细心,0,5.0,1735401995259
7338639,mooc37767630386940936,真的很好，很容易理解,0,2.0,1735371887825
7332607,Zhangjiaxiong,很不错值得推荐,0,5.0,1735349364045
7334555,mooc27651454148760930,内容丰富，学的东西很多,0,5.0,1735319416836
7333566,mooc46202603328577262,这门课让我收获很多,0,5.0,1735312555635
7313486,mooc68783171458480852,学了这门课，我从一个门外汉，居然能看懂程序运行的逻辑,0,5.0,1735008474812
7311029,爱学习的光光123,课程设计挺好,0,5.0,1734938978807
