comment_id,user_nickname,content,agree_count,mark,gmt_modified
6753726,jjxl2018,我是一名医学基础课程老师，负责病理生理学的教学，为了适应新时代的需求，我们学校开设了一个新兴医学专业“医 X”。在新医科以人工智能、大数据、云计算为代表的科技革命新背景下，本专业在病理生理学教学课程中也融入人工智能、大数据等相关内容。李老师的计算机课不仅给学生带来新的技术技能，也给我们带来很多启发，为实现培养“学科交叉、服务临床、注重创新、引领发展”的复合型医学人才做好了充分的准备。,16,5.0,1705826239453
6622337,君辞2560,非常好课程，使我的大脑旋转,10,5.0,1702880991040
5020167,mooc56490986133536953,老师讲的太好了吧，人美又温柔，耐心解决问题，我学会了，yyds,7,5.0,1635822979535
5338618,mooc110061795291999110,老师讲课生动有趣，带我们走进爬虫，让我又对计算机提起了兴趣(/≧▽≦)/~┴┴ (开心起来掀个桌没毛病吧～),6,5.0,1648121413168
6751643,乳酸钠林格,非常不错的课程，虽说是线上课程，但是学习效果丝毫不比线下课得效果差，老师线上回复十分及时，快速上手Python简直不要太爽，可视化的学习也是对Python语言理解的加深，更深一步理解了市面上各种各样的优美的数据大屏的来源和制作方法，技能upupup～,4,5.0,1705750846905
6621991,under.,虽然我不是专门的计算机专业，面对代码这些东西会很有疑惑，但是李老师的授课方式和效果却是独一佳的，让原本无味的知识更加生动，易理解，课堂上也是十分轻松却也能够学到很多有用的知识，很喜欢李老师的课！！！,4,5.0,1702967368813
6622967,半夏不当行,老师讲的很好，每个知识点都讲得很透彻，作为新手，感觉很清晰，特别是案例是一个完整的案例贯穿整个知识路线，比其他老师知识蜻蜓点水式的讲解好的不是一点半点，给老师点赞。,4,5.0,1702967136918
5178198,cugzhaohui,老师讲的很好，每个知识点都讲得很透彻，作为新手，感觉很清晰，特别是案例是一个完整的案例贯穿整个知识路线，比其他老师知识蜻蜓点水式的讲解好的不是一点半点，给老师点赞。,4,5.0,1641355678216
6070739,颜康20229411118,老师非常棒，很好的课程！,3,5.0,1679454752524
6832676,mooc11914815852490750,我是一名临床医学的学生，正在学习Python数据爬取的内容。在新医科背景下，学科交叉，医工融合是时代大趋势，数据爬取对于医学领域论文写作来说无疑是一本葵花宝典，倚天屠龙剑。学习Python难免会遇到许多挫折和疑问，李老师的课程带我走出疑惑，如拨云见日，受益匪浅。,2,5.0,1711348823991
6831730,谢美丽飞飞飞,老师超级好，传授的知识很懂，老师在很认真的教书，课堂气氛超级活跃，我要做一个大数据的医学生爬虫！！！,2,5.0,1711348535930
6837674,学员53eakada111726467573635545,以前用电脑效率很低，耗费大量时间，学习了Python之后，爬取数据很快，对于医学生很有帮助,2,5.0,1711348347035
6835690,天天保护地球,这门课程能让我更好地认识计算机与python，帮助我利用计算机进行数据处理，查找文献，有效地利用好网上资源。,2,5.0,1711348336696
6809728,墨摆摆,"学习爬虫课程是一种非常有趣和实用的经历。在这门课程中，我学到了如何使用编程语言和相关工具来自动化获取互联网上的数据。
首先，学习爬虫课程让我更深入地了解了互联网的工作原理。我学会了如何发送HTTP请求并解析返回的网页内容，了解了网页的结构和标记语言，如HTML和CSS。通过学习网页的结构，我可以更好地理解如何提取我需要的数据。
其次，学习爬虫课程使我掌握了一些常用的爬虫工具和技术。我学会了使用Python编程语言来编写爬虫程序，使用相关库，如Requests和BeautifulSoup，来实现数据的获取和解析。我也学会了处理一些常见的爬虫问题，如处理动态网页生成的数据、处理反爬虫机制等。
最重要的是，学习爬虫课程让我认识到数据隐私和伦理问题的重要性。在抓取数据的过程中，我们需要遵守网站的使用条款和隐私政策，并尊重数据的所有权和隐私。学习爬虫课程也提醒了我要学会合理使用和处理数据，避免滥用和侵犯他人的隐私。
",2,5.0,1710311685272
7533597,mooc33457055705277961,非常好，很有吸引力,1,5.0,1746196238456
7534583,浮梦谪世,很好的课程，学到了很多有用的知识,1,5.0,1746155762980
7361831,温壶春,课程很详细,1,5.0,1736221110340
7168260,mooc34429602732246016,对大数据可视化爬虫讲的很透彻，十分优秀。,1,5.0,1730427856842
7169261,@冷子兴,老师的Python数据爬虫课真是太棒了！讲解深入浅出，让我这种小菜鸡都能轻松上手。而且老师超级有耐心，每次问题都能得到及时回复，真是太感谢老师啦~ 强力推荐哦~,1,5.0,1730427655744
7155353,2108李骏午,强烈推荐此课程，老师讲的内容非常详细，想学python爬虫和可视化的同学一定要来看看,1,5.0,1729930946568
