user,time,rating,content
jjxl2018,发表于 2024-01-21,5,我是一名医学基础课程老师，负责病理生理学的教学，为了适应新时代的需求，我们学校开设了一个新兴医学专业“医 X”。在新医科以人工智能、大数据、云计算为代表的科技革命新背景下，本专业在病理生理学教学课程中也融入人工智能、大数据等相关内容。李老师的计算机课不仅给学生带来新的技术技能，也给我们带来很多启发，为实现培养“学科交叉、服务临床、注重创新、引领发展”的复合型医学人才做好了充分的准备。
君辞2560,发表于 2023-12-18,5,非常好课程，使我的大脑旋转
mooc56490986133536953,发表于 2021-11-02,5,老师讲的太好了吧，人美又温柔，耐心解决问题，我学会了，yyds
mooc110061795291999110,发表于 2022-03-24,5,老师讲课生动有趣，带我们走进爬虫，让我又对计算机提起了兴趣(/≧▽≦)/~┴┴ (开心起来掀个桌没毛病吧～)
乳酸钠林格,发表于 2024-01-20,5,非常不错的课程，虽说是线上课程，但是学习效果丝毫不比线下课得效果差，老师线上回复十分及时，快速上手Python简直不要太爽，可视化的学习也是对Python语言理解的加深，更深一步理解了市面上各种各样的优美的数据大屏的来源和制作方法，技能upupup～
under.,发表于 2023-12-19,5,虽然我不是专门的计算机专业，面对代码这些东西会很有疑惑，但是李老师的授课方式和效果却是独一佳的，让原本无味的知识更加生动，易理解，课堂上也是十分轻松却也能够学到很多有用的知识，很喜欢李老师的课！！！
半夏不当行,发表于 2023-12-19,5,老师讲的很好，每个知识点都讲得很透彻，作为新手，感觉很清晰，特别是案例是一个完整的案例贯穿整个知识路线，比其他老师知识蜻蜓点水式的讲解好的不是一点半点，给老师点赞。
cugzhaohui,发表于 2022-01-05,5,老师讲的很好，每个知识点都讲得很透彻，作为新手，感觉很清晰，特别是案例是一个完整的案例贯穿整个知识路线，比其他老师知识蜻蜓点水式的讲解好的不是一点半点，给老师点赞。
十夏九黎k1235346241299621430,发表于 2025-05-21,5,课堂内容很丰富，老师讲得好好！
颜康20229411118,发表于 2023-03-22,5,老师非常棒，很好的课程！
顽皮1,发表于 2025-05-21,5,这门 Python 数据爬取与可视化课程堪称数据领域的 “宝藏课堂”！讲师以扎实的技术功底和生动的案例教学，将复杂的网络爬虫原理拆解为易懂的逻辑链条，从requests库的基础调用到反爬机制的巧妙应对，层层递进地揭开数据采集的神秘面纱。可视化环节更是亮点纷呈，无论是Matplotlib的基础绘图，还是Plotly的交互式图表，讲师都能结合实际场景（如电商销售趋势、社交平台舆情分析）演示操作，让静态数据 “活” 起来。课程设置兼具理论深度与实践厚度，配套的实... 更多
mooc42226058747289254,发表于 2025-05-21,5,讲Python像说脱口秀，知识点咔咔往我脑里钻！
mooc42399074866834020,发表于 2025-05-21,5,老师讲得太棒了
mooc11914815852490750,发表于 2024-03-25,5,我是一名临床医学的学生，正在学习Python数据爬取的内容。在新医科背景下，学科交叉，医工融合是时代大趋势，数据爬取对于医学领域论文写作来说无疑是一本葵花宝典，倚天屠龙剑。学习Python难免会遇到许多挫折和疑问，李老师的课程带我走出疑惑，如拨云见日，受益匪浅。
谢美丽飞飞飞,发表于 2024-03-25,5,老师超级好，传授的知识很懂，老师在很认真的教书，课堂气氛超级活跃，我要做一个大数据的医学生爬虫！！！
学员53eakada111726467573635545,发表于 2024-03-25,5,以前用电脑效率很低，耗费大量时间，学习了Python之后，爬取数据很快，对于医学生很有帮助
天天保护地球,发表于 2024-03-25,5,这门课程能让我更好地认识计算机与python，帮助我利用计算机进行数据处理，查找文献，有效地利用好网上资源。
墨摆摆,发表于 2024-03-13,5,学习爬虫课程是一种非常有趣和实用的经历。在这门课程中，我学到了如何使用编程语言和相关工具来自动化获取互联网上的数据。 首先，学习爬虫课程让我更深入地了解了互联网的工作原理。我学会了如何发送HTTP请求并解析返回的网页内容，了解了网页的结构和标记语言，如HTML和CSS。通过学习网页的结构，我可以更好地理解如何提取我需要的数据。 其次，学习爬虫课程使我掌握了一些常用的爬虫工具和技术。我学会了使用Python编程语言来编写爬虫程序，使用相关库，如Request... 更多
mooc42223994580055456,发表于 2025-05-21,5,李老师讲的很好，推荐推荐
见字如面k1234790862333042530,发表于 2025-05-21,5,从来没用过这么牛逼的python课程，让我的python成绩直接起飞
xsyk1238786763270571035,发表于 2025-05-21,5,哇！特别好的课程，这辈子我都走不出这个python这个大迷宫了。老师上课很有趣，但是我实在听不懂。
mooc42399018103921137,发表于 2025-05-21,5,这课太棒了，尤其是李晓昀老师，讲课清晰可懂，让我受益匪浅。
白-也,发表于 2025-05-21,5,老师的课程对我的Python学习很有帮助
mooc33892009599512322,发表于 2025-05-20,5,老师很负责任，内容丰富，讲的很好！
mooc33457055705277961,发表于 2025-05-02,5,非常好，很有吸引力
浮梦谪世,发表于 2025-05-02,5,很好的课程，学到了很多有用的知识
温壶春,发表于 2025-01-07,5,课程很详细
mooc34429602732246016,发表于 2024-11-01,5,对大数据可视化爬虫讲的很透彻，十分优秀。
@冷子兴,发表于 2024-11-01,5,老师的Python数据爬虫课真是太棒了！讲解深入浅出，让我这种小菜鸡都能轻松上手。而且老师超级有耐心，每次问题都能得到及时回复，真是太感谢老师啦~ 强力推荐哦~
2108李骏午,发表于 2024-10-26,5,强烈推荐此课程，老师讲的内容非常详细，想学python爬虫和可视化的同学一定要来看看
mooc173942998684223685,发表于 2024-06-19,5,老师讲的特别好，讲的特别细致，平时有问题也会及时回复，回复得也特别容易理解，真不错！
mooc10800937207421045,发表于 2024-06-17,5,老师讲的很生动有趣，很容易听会。
何鸣涛,发表于 2024-06-17,5,课程内容中使老师讲解详细举例生动，是学生容易理解老师的课程安排非常合理，能够让学生循序渐进的学进知识
零伍零九,发表于 2024-03-25,5,老师认真且负责，让我们看到了计算机与医学的结合，给我们提供了不同的视角。
mooc11740121521871021,发表于 2024-03-25,5,Python课程深入浅出，老师教学经验丰富，讲解清晰易懂，案例丰富实用，让人受益匪浅，强烈推荐给对编程感兴趣的朋友！
还得等会哈,发表于 2024-03-23,5,老师讲的很好，每个知识点都讲得很透彻，作为新手，感觉很清晰，特别是案例是一个完整的案例贯穿整个知识路线，比其他老师知识蜻蜓点水式的讲解好的不是一点半点，给老师点赞。
有追求的羊,发表于 2024-03-23,5,从老师这门课知道了爬虫，从爬虫才知道python，几乎算是小白，当学完若干个知识点后，自己的爬虫项目也完成了，挺有成就感的。
