订单ID,商品ID,购买数量,单价,小计金额,是否退换货,退换货原因
ORD00000001,PRD000104,3,39.9,119.69999999999999,False,尺寸不合适
ORD00000001,PRD000151,2,68.96,137.92,False,尺寸不合适
ORD00000001,PRD000169,1,150.15,150.15,False,尺寸不合适
ORD00000002,PRD000078,2,2165.45,4330.9,True,不喜欢
ORD00000002,PRD000006,5,44.65,223.25,False,不喜欢
ORD00000002,PRD000034,5,266.68,1333.4,True,尺寸不合适
ORD00000002,PRD000009,3,66.5,199.5,False,尺寸不合适
ORD00000002,PRD000033,1,3049.9,3049.9,False,质量问题
ORD00000003,PRD000043,4,145.82,583.28,False,不喜欢
ORD00000003,PRD000166,4,61.79,247.16,False,尺寸不合适
ORD00000003,PRD000075,2,2153.56,4307.12,False,尺寸不合适
ORD00000004,PRD000094,3,10.95,32.849999999999994,True,尺寸不合适
ORD00000004,PRD000092,3,25.93,77.78999999999999,True,不喜欢
ORD00000004,PRD000132,5,22.12,110.60000000000001,True,不喜欢
ORD00000005,PRD000192,2,108.65,217.3,False,质量问题
ORD00000005,PRD000017,2,1849.98,3699.96,False,不喜欢
ORD00000005,PRD000054,2,135.25,270.5,True,尺寸不合适
ORD00000005,PRD000011,1,14.89,14.89,True,质量问题
ORD00000005,PRD000060,5,2837.29,14186.45,False,尺寸不合适
ORD00000006,PRD000040,1,11.49,11.49,True,尺寸不合适
ORD00000006,PRD000159,2,87.69,175.38,True,尺寸不合适
ORD00000006,PRD000162,1,149.44,149.44,False,不喜欢
ORD00000006,PRD000178,5,73.66,368.29999999999995,True,尺寸不合适
ORD00000006,PRD000125,5,68.29,341.45000000000005,False,质量问题
ORD00000007,PRD000001,4,22.36,89.44,False,尺寸不合适
ORD00000007,PRD000158,2,286.26,572.52,False,不喜欢
ORD00000007,PRD000200,1,20.26,20.26,False,尺寸不合适
ORD00000007,PRD000135,4,1324.3,5297.2,False,尺寸不合适
ORD00000008,PRD000129,5,182.45,912.25,False,尺寸不合适
ORD00000009,PRD000135,3,1324.3,3972.8999999999996,False,质量问题
ORD00000009,PRD000095,4,190.45,761.8,True,尺寸不合适
ORD00000009,PRD000014,4,137.73,550.92,False,尺寸不合适
ORD00000010,PRD000166,2,61.79,123.58,True,不喜欢
ORD00000010,PRD000175,3,40.04,120.12,False,不喜欢
ORD00000010,PRD000020,4,104.7,418.8,True,尺寸不合适
ORD00000011,PRD000048,2,233.84,467.68,False,质量问题
ORD00000011,PRD000166,4,61.79,247.16,False,质量问题
ORD00000011,PRD000196,3,20.36,61.08,False,尺寸不合适
ORD00000011,PRD000066,1,1170.97,1170.97,False,质量问题
ORD00000012,PRD000165,1,133.14,133.14,True,尺寸不合适
ORD00000012,PRD000106,3,139.63,418.89,True,尺寸不合适
ORD00000012,PRD000145,2,54.19,108.38,False,质量问题
ORD00000012,PRD000118,4,3902.48,15609.92,False,不喜欢
ORD00000012,PRD000025,5,45.71,228.55,False,不喜欢
ORD00000013,PRD000071,1,2676.1,2676.1,False,不喜欢
ORD00000013,PRD000012,5,4791.22,23956.100000000002,False,质量问题
ORD00000013,PRD000160,1,4855.63,4855.63,False,质量问题
ORD00000013,PRD000028,3,169.83,509.49,False,质量问题
