学生ID,年级,专业,订单ID,订单日期,商品类别,商品名称,商品单价,购买数量,订单金额,支付方式,是否使用优惠券,优惠金额,实付金额,收货地址,订单状态,评分,是否评价,下单时间
STU000399,大二,数据科学,ORD00000001,2024-07-18 19:57:43.076222,运动器材,运动器材64,367.37,3,1102.11,微信支付,False,0.0,1102.11,校区1学生宿舍,处理中,,False,2024-07-18 16:26:05.076222
STU000399,大二,数据科学,ORD00000002,2024-11-26 19:57:43.076222,食品,食品57,29.45,3,88.35,支付宝,False,0.0,88.35,校区1学生宿舍,已完成,3.0,True,2024-11-26 14:58:05.076222
STU000399,大二,数据科学,ORD00000003,2025-01-22 19:57:43.076222,生活用品,生活用品13,54.24,2,108.48,微信支付,False,0.0,108.48,校区3学生宿舍,处理中,,False,2025-01-22 18:09:49.076222
STU000399,大二,数据科学,ORD00000004,2024-09-02 19:57:43.076222,图书,图书99,79.72,1,79.72,校园卡,True,0.07,79.65,校外住址,已完成,3.0,True,2024-09-02 09:06:33.076222
STU000399,大二,数据科学,ORD00000005,2024-05-31 19:57:43.076222,生活用品,生活用品86,134.99,3,404.97,支付宝,True,25.99,378.98,校区3学生宿舍,已完成,,False,2024-05-31 18:49:28.076222
STU000153,大二,市场营销,ORD00000006,2024-07-17 19:57:43.076222,学习用品,学习用品37,30.18,5,150.9,微信支付,True,6.23,144.67000000000002,校区3学生宿舍,已完成,,False,2024-07-17 12:45:51.076222
STU000153,大二,市场营销,ORD00000007,2024-08-15 19:57:43.076222,学习用品,学习用品61,32.6,3,97.8,支付宝,False,0.0,97.8,校外住址,已取消,,False,2024-08-15 09:08:01.076222
STU000153,大二,市场营销,ORD00000008,2024-07-13 19:57:43.076222,食品,食品26,17.75,1,17.75,支付宝,False,0.0,17.75,校区3学生宿舍,已完成,,False,2024-07-13 17:21:52.076222
STU000582,大二,计算机科学,ORD00000009,2025-05-12 19:57:43.076222,食品,食品51,51.0,1,51.0,微信支付,False,0.0,51.0,校区2学生宿舍,已完成,2.0,True,2025-05-12 16:58:23.076222
STU000582,大二,计算机科学,ORD00000010,2025-05-13 19:57:43.076222,图书,图书45,122.54,3,367.62,银行卡,False,0.0,367.62,校区1学生宿舍,已完成,,False,2025-05-13 10:30:07.076222
STU000582,大二,计算机科学,ORD00000011,2025-01-11 19:57:43.076222,运动器材,运动器材92,177.02,2,354.04,支付宝,False,0.0,354.04,校区2学生宿舍,已取消,,False,2025-01-11 11:25:52.076222
STU000582,大二,计算机科学,ORD00000012,2024-11-02 19:57:43.076222,生活用品,生活用品62,162.64,1,162.64,银行卡,False,0.0,162.64,校区2学生宿舍,已完成,,False,2024-11-02 15:35:10.076222
STU000349,大二,信息管理,ORD00000013,2025-05-10 19:57:43.076222,生活用品,生活用品86,161.18,4,644.72,支付宝,False,0.0,644.72,校区3学生宿舍,已取消,,False,2025-05-10 15:11:42.076222
STU000857,大四,计算机科学,ORD00000014,2025-03-19 19:57:43.076222,生活用品,生活用品88,78.57,4,314.28,银行卡,True,51.67,262.60999999999996,校外住址,已完成,,False,2025-03-19 10:38:06.076222
STU000857,大四,计算机科学,ORD00000015,2024-11-03 19:57:43.076222,食品,食品58,18.15,1,18.15,校园卡,True,3.22,14.929999999999998,校区1学生宿舍,处理中,,False,2024-11-03 12:42:09.076222
STU000857,大四,计算机科学,ORD00000016,2024-12-05 19:57:43.076222,生活用品,生活用品45,100.49,5,502.45,支付宝,True,68.49,433.96,校区3学生宿舍,已完成,,False,2024-12-05 21:45:58.076222
STU000857,大四,计算机科学,ORD00000017,2025-03-14 19:57:43.076222,学习用品,学习用品7,49.39,5,246.95,支付宝,False,0.0,246.95,校区1学生宿舍,已完成,,False,2025-03-14 19:57:35.076222
STU000857,大四,计算机科学,ORD00000018,2025-05-15 19:57:43.076222,生活用品,生活用品52,39.75,3,119.25,银行卡,False,0.0,119.25,校外住址,已完成,4.0,True,2025-05-15 18:45:24.076222
STU000559,大二,物流管理,ORD00000019,2024-08-16 19:57:43.076222,食品,食品17,26.94,2,53.88,微信支付,False,0.0,53.88,校区2学生宿舍,已完成,,False,2024-08-16 17:55:42.076222
STU000559,大二,物流管理,ORD00000020,2024-05-25 19:57:43.076222,学习用品,学习用品83,11.48,1,11.48,银行卡,False,0.0,11.48,校外住址,处理中,,False,2024-05-25 12:05:08.076222
STU000559,大二,物流管理,ORD00000021,2025-01-08 19:57:43.076222,运动器材,运动器材55,468.64,5,2343.2,支付宝,True,212.95,2130.25,校外住址,已完成,,False,2025-01-08 19:14:11.076222
STU000559,大二,物流管理,ORD00000022,2025-03-11 19:57:43.076222,食品,食品91,74.09,2,148.18,校园卡,False,0.0,148.18,校区1学生宿舍,已完成,,False,2025-03-11 09:36:30.076222
STU000595,大四,物流管理,ORD00000023,2024-06-29 19:57:43.076222,电子产品,电子产品95,4919.54,5,24597.7,支付宝,False,0.0,24597.7,校区1学生宿舍,已完成,5.0,True,2024-06-29 15:30:40.076222
STU000818,大三,数据科学,ORD00000024,2024-06-16 19:57:43.076222,服装,服装38,240.2,5,1201.0,校园卡,False,0.0,1201.0,校区3学生宿舍,已完成,,False,2024-06-16 21:22:51.076222
STU000818,大三,数据科学,ORD00000025,2024-08-13 19:57:43.076222,学习用品,学习用品95,38.72,5,193.6,支付宝,False,0.0,193.6,校区2学生宿舍,已完成,,False,2024-08-13 09:42:18.076222
STU000818,大三,数据科学,ORD00000026,2024-10-13 19:57:43.076222,食品,食品33,21.41,1,21.41,支付宝,True,3.65,17.76,校区2学生宿舍,已完成,,False,2024-10-13 16:17:54.076222
STU000818,大三,数据科学,ORD00000027,2024-07-16 19:57:43.076222,生活用品,生活用品68,183.82,2,367.64,支付宝,True,48.47,319.16999999999996,校区2学生宿舍,已完成,3.0,True,2024-07-16 23:11:51.076222
STU000818,大三,数据科学,ORD00000028,2024-11-11 19:57:43.076222,学习用品,学习用品22,31.8,2,63.6,微信支付,True,10.65,52.95,校区2学生宿舍,已完成,,False,2024-11-11 22:46:40.076222
STU000752,大三,计算机科学,ORD00000029,2025-04-13 19:57:43.076222,服装,服装69,44.18,1,44.18,微信支付,False,0.0,44.18,校区3学生宿舍,已完成,,False,2025-04-13 23:47:48.076222
STU000752,大三,计算机科学,ORD00000030,2024-11-30 19:57:43.076222,图书,图书68,81.7,4,326.8,支付宝,True,34.67,292.13,校外住址,已完成,3.0,True,2024-11-30 20:43:20.076222
STU000752,大三,计算机科学,ORD00000031,2024-07-08 19:57:43.076222,生活用品,生活用品13,192.11,3,576.33,校园卡,False,0.0,576.33,校区3学生宿舍,已取消,,False,2024-07-08 18:17:17.076222
STU000752,大三,计算机科学,ORD00000032,2025-04-20 19:57:43.076222,生活用品,生活用品24,103.0,4,412.0,校园卡,True,60.51,351.49,校区2学生宿舍,已取消,,False,2025-04-20 18:43:44.076222
STU000752,大三,计算机科学,ORD00000033,2025-02-24 19:57:43.076222,学习用品,学习用品93,42.43,1,42.43,校园卡,True,3.49,38.94,校区1学生宿舍,已取消,,False,2025-02-24 22:22:14.076222
STU000198,大一,计算机科学,ORD00000034,2025-04-02 19:57:43.076222,学习用品,学习用品78,47.23,1,47.23,微信支付,True,8.98,38.25,校区1学生宿舍,处理中,,False,2025-04-02 11:05:54.076222
STU000198,大一,计算机科学,ORD00000035,2024-11-28 19:57:43.076222,图书,图书85,124.42,5,622.1,支付宝,True,111.48,510.62,校区2学生宿舍,处理中,,False,2024-11-28 16:18:29.076222
STU000198,大一,计算机科学,ORD00000036,2025-04-12 19:57:43.076222,食品,食品43,79.24,3,237.72,支付宝,False,0.0,237.72,校区3学生宿舍,已完成,1.0,True,2025-04-12 09:24:24.076222
STU000979,大三,电子商务,ORD00000037,2024-12-31 19:57:43.076222,学习用品,学习用品56,49.07,4,196.28,微信支付,True,23.96,172.32,校区1学生宿舍,已完成,,False,2024-12-31 12:34:49.076222
STU000979,大三,电子商务,ORD00000038,2025-03-30 19:57:43.076222,图书,图书3,138.64,1,138.64,银行卡,False,0.0,138.64,校区1学生宿舍,已完成,1.0,True,2025-03-30 16:49:28.076222
STU000979,大三,电子商务,ORD00000039,2024-08-04 19:57:43.076222,图书,图书99,141.28,1,141.28,银行卡,False,0.0,141.28,校外住址,已完成,3.0,True,2024-08-04 08:32:45.076222
STU000447,大四,信息管理,ORD00000040,2024-06-24 19:57:43.076222,生活用品,生活用品81,20.6,2,41.2,支付宝,False,0.0,41.2,校区3学生宿舍,已完成,,False,2024-06-24 17:25:03.076222
STU000447,大四,信息管理,ORD00000041,2024-11-23 19:57:43.076222,生活用品,生活用品39,34.48,3,103.44,银行卡,False,0.0,103.44,校区1学生宿舍,已完成,2.0,True,2024-11-23 20:42:12.076222
STU000447,大四,信息管理,ORD00000042,2024-07-13 19:57:43.076222,图书,图书4,83.25,3,249.75,微信支付,False,0.0,249.75,校区2学生宿舍,处理中,,False,2024-07-13 12:02:12.076222
STU000447,大四,信息管理,ORD00000043,2025-01-25 19:57:43.076222,食品,食品44,81.35,1,81.35,支付宝,False,0.0,81.35,校区1学生宿舍,已完成,,False,2025-01-25 09:21:03.076222
STU000122,大二,信息管理,ORD00000044,2025-04-19 19:57:43.076222,图书,图书61,79.59,5,397.95,支付宝,True,58.98,338.96999999999997,校区2学生宿舍,已完成,1.0,True,2025-04-19 23:41:01.076222
STU000122,大二,信息管理,ORD00000045,2024-09-21 19:57:43.076222,图书,图书14,21.87,2,43.74,支付宝,True,7.91,35.83,校区2学生宿舍,已完成,,False,2024-09-21 10:52:52.076222
STU000122,大二,信息管理,ORD00000046,2025-01-29 19:57:43.076222,生活用品,生活用品74,59.7,5,298.5,微信支付,True,25.44,273.06,校外住址,处理中,,False,2025-01-29 18:07:43.076222
STU000122,大二,信息管理,ORD00000047,2024-10-31 19:57:43.076222,运动器材,运动器材48,393.9,2,787.8,微信支付,True,52.86,734.9399999999999,校区2学生宿舍,已完成,,False,2024-10-31 21:10:44.076222
STU000250,大一,电子商务,ORD00000048,2024-07-10 19:57:43.076222,运动器材,运动器材91,219.26,5,1096.3,校园卡,True,3.43,1092.87,校区1学生宿舍,已完成,1.0,True,2024-07-10 13:59:05.076222
STU000250,大一,电子商务,ORD00000049,2024-12-19 19:57:43.076222,图书,图书89,110.01,4,440.04,支付宝,True,12.59,427.45000000000005,校外住址,已完成,,False,2024-12-19 15:11:39.076222
STU000250,大一,电子商务,ORD00000050,2025-03-21 19:57:43.076222,电子产品,电子产品25,3099.04,4,12396.16,支付宝,True,1554.95,10841.21,校外住址,已完成,,False,2025-03-21 08:35:15.076222
